,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
499,Ring of Red,PlayStation2,2001-03-12,82,8.4,Konami,"Strategy,Real-Time,Sci-Fi",1 Player,15,16,8.675
501,Triple Play Baseball,PlayStation,2001-03-12,76,7.2,EASports,"Sports,Traditional,Baseball,Sim",No info,8,6,6.991666666666667
502,Onimusha: Warlords,PlayStation2,2001-03-13,86,8.2,Capcom,"Action Adventure,Fantasy",1 Player,23,122,8.536842105263156
538,Resident Evil 3: Nemesis,PC,2001-04-16,71,8.6,Capcom,"Action Adventure,Horror,Horror,Survival",No info,8,242,8.540000000000001
555,Dance Dance Revolution,PlayStation,2001-05-09,90,8.4,Konami,"Miscellaneous,Rhythm,Dancing",1-2 ,8,104,8.620000000000001
560,Project Justice,Dreamcast,2001-05-16,80,8.7,Capcom,"Action,Fighting,3D",No info,10,43,8.55
590,Super Mario Advance,GameBoyAdvance,2001-06-10,84,7.3,Nintendo,"Action,Platformer,2D",No info,19,65,8.325
639,NCAA Football 2002,PlayStation2,2001-07-23,90,8.4,EASports,"Sports,Traditional,Football,Sim",1-8 ,18,24,7.1
654,Madden NFL 2002,PlayStation,2001-08-13,88,7.3,EASports,"Sports,Traditional,Football,Sim",No info,9,9,7.114285714285714
655,Dragonriders: Chronicles of Pern,PC,2001-08-13,44,5.8,Ubisoft,"Role-Playing,Adventure,General,General",No info,7,4,7.25
662,Madden NFL 2002,PlayStation2,2001-08-19,94,7.3,EASports,"Sports,Traditional,Football,Sim",1-8 ,23,49,7.126666666666667
664,Madden NFL 2002,PC,2001-08-20,71,6.8,EASports,"Sports,Traditional,Team,Football,Sim,Sim",1-4 ,10,10,7.10625
667,Resident Evil Code: Veronica X,PlayStation2,2001-08-21,84,8.5,Capcom,"Action Adventure,Horror",1 Player,21,341,8.547619047619047
689,Heavy Metal: Geomatrix,Dreamcast,2001-09-13,58,6.7,Capcom,"Action,General",No info,10,6,8.463636363636363
690,Dance Dance Revolution Disney Mix,PlayStation,2001-09-17,74,8.2,Konami,"Miscellaneous,Rhythm,Dancing",1-2 ,7,12,8.420000000000002
694,NHL 2002,PC,2001-09-17,87,7.6,EASports,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",1-4 ,12,45,7.135294117647058
710,NHL 2002,PlayStation2,2001-09-24,92,8.3,EASports,"Sports,Traditional,Ice Hockey,Sim",1-8 ,22,26,7.199999999999999
728,F1 2001,PlayStation2,2001-10-01,83,8.3,EASports,"Driving,Racing,Formula One",1-4 ,13,12,7.257894736842106
733,Castlevania Chronicles,PlayStation,2001-10-08,69,7.0,Konami,"Action,Platformer,2D",1 Player,16,27,8.183333333333335
740,F1 2001,PC,2001-10-14,79,7.1,EASports,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",1-8 ,8,13,7.25
741,Batman: Vengeance,PlayStation2,2001-10-15,68,7.0,Ubisoft,"Action Adventure,Fantasy",1 Player,19,12,7.166666666666667
744,NASCAR Thunder 2002,PlayStation2,2001-10-15,85,8.5,EASports,"Driving,Racing,Stock Car",1-4 ,17,22,7.309523809523809
747,Devil May Cry,PlayStation2,2001-10-16,94,8.6,Capcom,"Action Adventure,Fantasy",1 Player,37,859,8.469565217391304
769,Madden NFL 2002,Xbox,2001-10-29,90,7.6,EASports,"Sports,Traditional,Football,Sim",1-4 ,16,11,7.322727272727272
770,FIFA Soccer 2002,PC,2001-10-29,77,7.4,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",1-8 ,9,48,7.326086956521739
775,Batman: Vengeance,GameBoyAdvance,2001-10-30,68,8.8,UbisoftMontreal,"Action,General",1 Player,8,6,8.299999999999999
776,Super Street Fighter II: Turbo Revival,GameBoyAdvance,2001-10-30,84,7.5,Capcom,"Action,Fighting,2D",No info,17,21,8.429166666666667
777,Mega Man Battle Network,GameBoyAdvance,2001-10-30,79,8.6,Capcom,"Role-Playing,Action RPG",1 Player,10,82,8.436
790,FIFA Soccer 2002,PlayStation2,2001-11-01,82,6.2,EASports,"Sports,Traditional,Soccer,Sim",1-8 ,17,29,7.279166666666666
791,FIFA Soccer 2002,PlayStation,2001-11-01,81,5.6,EASports,"Sports,Traditional,Soccer,Sim",No info,8,10,7.212000000000001
801,SSX Tricky,PlayStation2,2001-11-05,92,8.8,EACanada,"Sports,Alternative,Snowboarding",1-2 ,33,104,8.05
804,Capcom vs. SNK 2: Mark of the Millennium 2001,PlayStation2,2001-11-06,81,8.2,Capcom,"Action,Fighting,2D",1-2 ,22,44,8.426923076923076
836,Disney's Tarzan Untamed,PlayStation2,2001-11-14,59,6.9,Ubisoft,"Action Adventure,Fantasy",1 Player,7,9,7.1
850,Disney's Tarzan Untamed,GameCube,2001-11-17,61,7.0,UbisoftMontreal,"Action,Platformer,3D",1 Player,11,10,7.975
851,Luigi's Mansion,GameCube,2001-11-17,78,8.6,Nintendo,"Action Adventure,Fantasy",1 Player,34,298,8.379999999999999
856,Batman: Vengeance,GameCube,2001-11-17,70,6.1,UbisoftMontreal,"Action Adventure,Fantasy",1 Player,17,21,7.6
