,platform,count,year
582,Xbox360,1665,2021
583,PlayStation3,1265,2021
584,Wii,663,2021
585,3DS,398,2021
586,PlayStationVita,258,2021
587,WiiU,186,2021
588,PlayStation4,2068,2021
589,XboxOne,1183,2021
590,Switch,1421,2021
591,Stadia,5,2021
592,XboxSeriesX,85,2021
593,PlayStation5,133,2021
