,genre,count,year
787,Mech,0,1999
788,Skate / Skateboard,0,1999
789,Surfing,0,1999
790,Soccer,0,1999
791,Trivia / Game Show,0,1999
792,Car Combat,0,1999
793,Volleyball,0,1999
794,Other,0,1999
795,Linear,0,1999
796,Surf / Wakeboard,0,1999
797,Ship,0,1999
798,Marine,0,1999
799,Compilation,0,1999
800,Pinball,0,1999
801,Dancing,0,1999
802,Music Maker,0,1999
803,Train,0,1999
804,Artillery,0,1999
805,Japanese-Style,0,1999
806,Rugby,0,1999
807,Horse Racing,0,1999
808,Stacking,0,1999
809,Military,0,1999
810,Career,0,1999
811,Civilian Plane,0,1999
812,Submarine,0,1999
813,On-foot,0,1999
814,Open-World,0,1999
815,Truck,0,1999
816,Horizontal,0,1999
817,Skating,0,1999
818,Card Battle,0,1999
819,Board Games,0,1999
820,Old Jet,0,1999
821,Hunting,0,1999
822,Wakeboarding,0,1999
823,Vertical,0,1999
824,No info,0,1999
825,Bowling,0,1999
826,WWI,0,1999
827,Edutainment,0,1999
828,Gambling,0,1999
829,Party / Minigame,0,1999
830,Pet,0,1999
831,Static,0,1999
832,Ski / Snowboard,0,1999
833,Visual Novel,0,1999
834,Application,0,1999
835,Boxing / Martial Arts,0,1999
836,Logic,0,1999
837,Videos,0,1999
838,Interactive Movie,0,1999
839,Roguelike,0,1999
840,Trainer,0,1999
841,Hidden Object,0,1999
842,Cricket,0,1999
843,Sandbox,0,1999
844,Defense,0,1999
845,Drag,0,1999
846,Skiing,0,1999
847,Exercise / Fitness,0,1999
848,MOBA,0,1999
849,Text,0,1999
850,Adventure,24,2000
851,General,139,2000
852,Action,142,2000
853,Shooter,88,2000
854,First-Person,49,2000
855,Sci-Fi,93,2000
856,Arcade,39,2000
857,Strategy,58,2000
858,Turn-Based,13,2000
859,Historic,23,2000
860,4X,5,2000
861,Action Adventure,49,2000
862,Horror,23,2000
863,Fighting,23,2000
864,3D,35,2000
865,Platformer,23,2000
866,Simulation,40,2000
867,Point-and-Click,8,2000
868,Driving,78,2000
869,Racing,65,2000
870,Futuristic,10,2000
871,Real-Time,29,2000
872,Command,11,2000
873,Snow / Water,3,2000
874,Modern,42,2000
875,Miscellaneous,19,2000
876,Puzzle,6,2000
877,Matching,4,2000
878,Role-Playing,45,2000
879,Action RPG,12,2000
880,Kart,7,2000
881,Rail,4,2000
882,Flight,11,2000
883,Modern Jet,9,2000
884,2D,10,2000
885,Console-style RPG,19,2000
886,Third-Person,18,2000
887,Shoot-'Em-Up,1,2000
888,Top-Down,1,2000
889,Wargame,1,2000
890,PC-style RPG,12,2000
891,Western-Style,8,2000
892,Small Spaceship,15,2000
893,Rhythm,3,2000
894,Music,3,2000
895,Fantasy,42,2000
896,GT / Street,9,2000
897,Scrolling,4,2000
898,Light Gun,1,2000
899,Tactical,8,2000
900,Tycoon,5,2000
901,Management,5,2000
902,Business / Tycoon,2,2000
903,Combat,17,2000
904,Party,3,2000
905,Massively Multiplayer Online,4,2000
906,Massively Multiplayer,4,2000
907,Sports,65,2000
908,Traditional,41,2000
909,Golf,7,2000
910,Mission-based,10,2000
911,Football,12,2000
912,Survival,8,2000
913,Alternative,16,2000
914,Skateboarding,6,2000
915,Motorcycle,8,2000
916,Motocross,7,2000
917,Space,6,2000
918,Breeding/Constructing,2,2000
919,Beat-'Em-Up,4,2000
920,Automobile,10,2000
921,Virtual Life,4,2000
922,Virtual,2,2000
923,Parlor,4,2000
924,Billiards,5,2000
925,City Building,2,2000
926,Government,3,2000
927,Tactics,8,2000
928,Tennis,2,2000
929,Sim,35,2000
930,Large Spaceship,2,2000
931,Civilian,3,2000
932,Rally / Offroad,8,2000
933,Formula One,8,2000
934,Nature,2,2000
935,Fishing,2,2000
936,Baseball,1,2000
937,Olympic Sports,6,2000
938,Helicopter,2,2000
939,Wrestling,5,2000
940,Futuristic Sub,1,2000
941,Individual,8,2000
942,Team,3,2000
943,Athletics,1,2000
944,Ice Hockey,4,2000
945,Futuristic Jet,2,2000
946,Stock Car,6,2000
947,Tank,2,2000
948,Vehicle,3,2000
949,Demolition Derby,2,2000
950,Biking,4,2000
951,Snowboarding,4,2000
952,Street,3,2000
953,WWII,5,2000
954,Board / Card Game,2,2000
955,Basketball,6,2000
956,Boxing,5,2000
957,Mech,3,2000
958,Skate / Skateboard,1,2000
959,Surfing,4,2000
960,Soccer,3,2000
961,Trivia / Game Show,2,2000
962,Car Combat,6,2000
963,Volleyball,1,2000
964,Other,2,2000
965,Linear,2,2000
966,Surf / Wakeboard,1,2000
967,Ship,2,2000
968,Marine,1,2000
969,Compilation,0,2000
970,Pinball,0,2000
971,Dancing,0,2000
972,Music Maker,0,2000
973,Train,0,2000
974,Artillery,0,2000
